Source_NAME,Activity,Activity Description
Arrowhead,Birding,"Several species of birds make Arrowhead their home in the spring and summer months, before migrating south for the winter. A bird list is available at the main gate."
Arrowhead,Boating,Motorized boats (including electric motors) are prohibited on Arrowhead and Mayflower lakes. Canoes are ideal for exploring the shorelines and viewing the wildlife of these lakes.
Arrowhead,Canoeing,Be aware of weather conditions before going out as well as making sure you wear a personal floatation device (PFD) at all times.
Arrowhead,Fishing,Mayflower Lake is stocked with Rainbow Trout. Arrowhead Lake is good for Small Mouth Bass. A valid fishing license and outdoors card is required.
Arrowhead,Hiking,"Beaver Meadow Trail - 7 km (2 hours) moderate 
Arrowhead’s longest trail passes Porcupine Bluffs, the remnant shoreline of a huge ancient lake. The bluffs are easily visible in the spring and fall but are hidden during the leafy summer months. The trail circles a large beaver pond with large rafts of cattails where you might see otter, moose, Great Blue Heron, Tree Swallows and, of course, beavers. Near the end, the trail crosses a field and you can see evidence of the once successful Oke homestead—old fence lines, building foundations and domestic plants such as rhubarb and apple trees."
Arrowhead,Natural Heritage Education,"Park staff offer weekly educational programs for children and adults from early July to Labour Day. They include nature and historical walks, evening programs with guest speakers and videos, and children’s crafts and games."
Arrowhead,Swimming,"There are three quiet, clean, sandy beaches with change facilities that back into birch groves. Please note: there are no lifeguards posted at the beaches and pets are not permitted."
Arrowhead,Winter Activities,"The main park road and three parking lots are kept open for winter visitors and to host major events including the Annual Muskoka Loppet (http://arrowheadnordic.ca), elementary school races and much more. In the winter, Arrowhead grooms and maintains more than 33 km of cross-country ski trails that are designed for classic skiing or skate skiing. Check the current trail conditions in the ski report. Each trail is rated for difficulty and ranges from beginner to expert. The park offers a variety of hiking/snowshoeing trails as well as a skating rink and skating trail. There are two warm-up shelters and an open fire pit at the top of the tubing hill! (Tubes provided)."
Awenda,Biking,Several kilometers of park roads are available for cyclists.
Awenda,Birding,Awenda is home to at least 120 breeding bird species. The park’s upland forests provide a critical habitat refuge for the endangered Cerulean Warbler.
Awenda,Boating,"Boating enthusiasts will find plenty of room to investigate Georgian Bay. Because of its size and exposed area, Georgian Bay winds can be unpredictable and quick to rise, so use appropriate caution.
 
The closest boat launch facilities are in Penetanguishene. Outboard motors are not allowed on Kettle’s Lake."
Awenda,Canoeing,"Awenda’s quiet and scenic Kettle’s Lake is an excellent location for putting in your own canoe or one you rent from the park. This small, motorboat free lake is ideally suited for the novice paddler or nature enthusiast."
Awenda,Fishing,"Bass, Northern Pike, pickerel and smaller panfish are commonly found in the waters between Awenda and Giant’s Tomb Island. Bass and panfish are also found in Kettle’s Lake."
Awenda,Hiking,"Awenda offers a nice variety of looped and linear, easy to moderate trails and range from 1 to 13 km in length. One trail provides barrier-free access.
 
Beach Trail – 4 km return (1.5 hours) linear, easy
 This trail takes hikers along the Georgian Bay shoreline. Giant’s Tomb Island is visible from the trail. The contrast between the dry oak-maple forest of the campgrounds and the low, wet birch-cedar-hemlock forest below the bluff can be seen."
Awenda,Natural Heritage Education,"Awenda offers a wide variety of programs for enthusiasts of all ages. Regularly scheduled guided hikes, children’s programs, special events and evening programs occur from late June to early fall featuring the unique cultural history and the biology of the park."
Awenda,Swimming,Awenda features several beautiful and natural beaches on the Georgian Bay shoreline within driving distance from the campgrounds. The most protected and sandiest beach area is at Methodist Point Bay (Third Beach). Swimmers are reminded that that there are no lifeguards at the beaches.
Awenda,Winter Activities,"The park is not open for camping, but the trails and forests are available as a backcountry style experience for the more adventuresome ski and snowshoe enthusiast. 
 
Trails begin at the Trail Centre, a cozy wood heated log cabin. Although 17 kilometres of ski trail are often packed and set with a single track, be prepared to occasionally track your own trails due to the backcountry intent of this self-use winter program.
 
Snowshoeing is popular through the park’s many hectares of open bush; however there are no designated snowshoe trails.
 
Dogs are not permitted on winter trails and visitors must provide their own equipment as rentals are not available. 
 
For the most current trail conditions at Awenda and other Ontario Parks check the ski trail report."
Balsam Lake,Biking,Cycle on campground roads and over 10 km of local cottage roads (adjacent to the park).
Balsam Lake,Birding,"Find a wide range of birds from hummingbirds, Blue birds, cardinals, Northern orioles, Pileated woodpeckers, hawks, osprey and owls. Relax to the call of the loon."
Balsam Lake,Boating,"Canoes, kayaks and paddle boats are available to rent on the south end of the beach. Personal floatation devices (PFDs) are supplied for all rentals. A boat launch and boat trailer parking is available."
Balsam Lake,Canoeing,Explore the shores of Balsam Lake.
Balsam Lake,Fishing,"Fish for Walleye, Muskellunge, Large and Small Mouth Bass"
Balsam Lake,Hiking,"Lookout Trail – 2.6 km (1.5 hours) walk through eskers and kames formed over 10,000 years ago from the Wisconsin Glacier. Enjoy a panoramic view of the surrounding area."
Balsam Lake,Natural Heritage Education,Regularly scheduled programs and events including excellent children’s programs are available during the summer season.
Balsam Lake,Swimming,"The clean, sandy beach is marked with buoys. Please note that there are no lifeguards posted."
Bass Lake,Biking,Part of our hiking trail is paved and bicycle friendly. Visitors are also welcome to bike on park roads.
Bass Lake,Boating,The park has a boat launch can accommodate a boat up to 20 feet. There are alos docks for temporary docking.
Bass Lake,Canoeing,Canoe rentals are available at the park store.
Bass Lake,Fishing,Sportfishing for bass is good and the season starts on the last Saturday of June each year.
Bass Lake,Hiking,"You can appreciate some of the natural and historic points of interest on our 2.8 km trail, which winds its way through a variety of habitats. Along the way uncover the park’s history with the Rowe Homestead, a working farm for more than 100 years, the effects of glaciers from 10,000 years ago and the importance of the next generation of flora and fauna. You will also find that the first half kilometre of trail, which begins at our beach parking lot, has been paved making it accessible for everyon. We have trail guides available at our Park Registration Building."
Bass Lake,Swimming,"Shallow, clear water makes Bass Lake perfect for swimming."
Bass Lake,Winter Activities,"Bass Lake Provincial Park offers a small program for outdoor winter enthusiasts. From our fall closing date (fourth Sunday in September) through to our spring operating season in May, visitors can access the park by walking in, using a pay and park coin-only system, to enjoy our 4.0 km network of groomed cross-country ski trails. We also groom a hiking trail for those that prefer to walk or snowshoe instead of ski."
Batchawana,Boating,Boats must be carried into the water or driven to a launch east of the park at the mouth of the Batchawana River. Sudden squalls occur frequently and can be hazardous.
Batchawana,Fishing,"Rainbow trout, Northern Pike, Salmon, Lake Trout, and Walleye are all possible catches."
Batchawana,Swimming,Batchawana Bay Provincial Park features a sandy beach that is the perfect setting for families. The water is shallow and protected and the warmest on the Lake Superior shoreline.
Biscotasi Lake,Birding,"The park supports abundant bird life: osprey, Bald Eagles, Belted Kingfishers and Great Blue Herons are often seen while fishing. Many species of songbirds nest in the forests along the river, including Black and White Warblers, Yellow Warblers and Ovenbirds."
Biscotasi Lake,Boating,Motorboats are allowed on Biscotasi Lake and Agnew Lake.
Biscotasi Lake,Canoeing,The Spanish River offers a number of paddling options:
Biscotasi Lake,Fishing,"Many species of fish such as Walleye, Northern Pike, Lake and Brook Trout inhabit the many lakes and tributaries along the river."
Biscotasi Lake,Swimming,Spanish River has no designated beaches but there are plenty of swimming opportunities.
Blue Lake,Biking,Bicycles are a great way to explore the campground. They are permitted on park roads but not on the trail system.
Blue Lake,Birding,"The boreal forest is home to a variety of bird species. Often the Common Loon fills the evening sky with its mournful song as Chimney Swifts fly high above, snagging insects out of the air. Bald Eagles are common place as well as many forest dwelling song birds. Bird checklists are available at the Visitor Centre."
Blue Lake,Boating,"Power boats are allowed on all lakes within Blue Lake Provincial Park but please be aware of non-motorized canoes, kayaks and sailboats."
Blue Lake,Canoeing,Take a canoe out onto Blue Lake and explore for the afternoon or try a longer canoe adventure starting from the park.
Blue Lake,Fishing,"Blue Lake is a popular fishing lake for Lake Trout, Smallmouth Bass, and Northern Pike. Walleye and the elusive musky can be caught but are a challenge even for an experienced angler. Nearby Corner Lake and the Indian Lake chain are popular for walleye."
Blue Lake,Hiking,"Boulder Ridge Trail – 1 km, easy, 30 minutes
Walk through a forest created by fire, onto a ridge made by ice and over sands carried by rivers now dry. The Boulder Ridge Trail mixes past and present into a fascinating half hour stroll."
Blue Lake,Hunting,Hunting is permitted in the Blue Lake park additions. Be sure to ask a Ministry of Natural Resources and Forestry representative of proper boundaries.
Blue Lake,Natural Heritage Education,"During the summer staff offer a variety of fun, interactive educational programs. Join a Park Naturalist as you explore the hiking trails, stop by the Visitor Centre to learn about the 1900s burn that made Blue Lake what it is today, bring your young campers to the children’s programs and take the whole family to the evening campfires and slide shows!"
Blue Lake,Swimming,"Blue Lake is renowned for its long sandy beaches and exceptionally clear, blue water. Summer fun in the water is what brings families to Blue Lake. A buoy line marks the swimming area."
Bon Echo,Biking,Biking is permitted on park roads only.
Bon Echo,Birding,"The Peregrine Falcon, a threatened species in Ontario, is often seen nesting on Mazinaw Rock. Great Crested Flycatchers, Yellow-Bellied Sapsuckers, Common Loon, Turkey Vultures, kestrels and Red-Tailed Hawks are popular bird sightings. Bird checklists are available at the Friends Gift and Book Shop."
Bon Echo,Boating,Power boats are allowed on Mazinaw Lake but are prohibited on all other lakes in the park.
Bon Echo,Canoeing,"Kishkebus Canoe Route – 21 km (6 hours), loop, moderate to difficult
This day paddle takes you past Aboriginal pictographs to the still waters of the nature reserve on the east side of the park.  Please note: there is a 1.5 km portage."
Bon Echo,Fishing,"Mazinaw Lake is a popular fishing lake for Lake Trout, Yellow Pickerel, Small and Large Mouth Bass, Lake Whitefish and Northern Pike."
Bon Echo,Hiking,"Abes and Essens Lake Trail – 3 interconnecting looped trails:  Clutes 3.5 km (1.5 hours); Essens Lake 9.6 km (4 hours) and Abes 17 km (7 hours) moderate to difficult.  
Some sections offer panoramic views that are particularly spectacular in fall.  Hike for a day or camp at one of the five campsites along the trail (campsite reservations required)."
Bon Echo,Natural Heritage Education,"During the summer park staff offer a variety of fun, interactive educational programs. Join a park naturalist as you explore the hiking trails and stop by the Visitor Centre to learn about the 1920s Bon Echo Inn. Attend a children’s program or bring the whole family to the popular evening shows at the amphitheatre."
Bon Echo,Swimming,"There are three natural sand beaches recommended for swimming. The Main Beach is located in Lower Mazinaw Lake, South Beach is located in the Day-Use area, and North Beach is in Sawmill Bay campground. These beaches are marked with buoys. Please note: there are no lifeguards posted at the beaches and pets are not permitted."
Bonnechere,Biking,Biking is an excellent way to get around the park and is encouraged by park staff. Biking is permitted along park roads. There are no designated bike trails.
Bonnechere,Birding,"Bonnechere provides homes for many birds throughout the year and in fact, there are about 297 species that have been sighted in the area. A birding checklist is available at the park for a reasonable cost."
Bonnechere,Boating,Power boats are allowed on Round Lake and the Bonnechere River. Please be observe no wake speeds while traveling the river as it is home to many sensitive species and habitats.
Bonnechere,Canoeing,"Visitors to Bonnechere typically enjoy leisurely paddles along the meandering banks of the Bonnechere River from the park to Jack’s Chute (~3km). Highlights include exploring the oxbows which are habitat for a variety of creatures big and small like turtles, fish, ducks and deer."
Bonnechere,Fishing,"The Bonnechere River and Round Lake provide opportunities for Large and Small Mouth Bass, pumpkinseed, Rock Bass, pike, pickerel and Lake Trout."
Bonnechere,Hiking,"McNaugton Trail – 2 km (40 – 60 minutes) – Out and back to loop - Easy 
Take an easy stroll along the meandering Bonnechere River and learn about its rich natural and cultural history by exploring our Foot Prints in Time (FIT). FIT is based on the traditional local First Nations way of teaching and explaining our history. The trail takes you in stride with 13 giant foot prints, marked by posts with interpretive and educational text designed to be informative and engage you and your family along the hike. You will truly enjoy this adventure."
Bonnechere,Natural Heritage Education,"During the summer, park staff offer a variety of fun, interactive educational programs. Join a park naturalist as you explore Footprints in Time at the hiking trail and the Visitor Centre. Bring your young campers to the children’s programs and take the whole family to the evening campfires, slide shows and the many unique presentations and entertainment."
Bonnechere,Swimming,There is one beautiful sandy beach at Bonnechere that is recommended for swimming. The Main Beach is located in the day-use area near the Visitor Centre and Park Store and is located on the shores of Round Lake. The beach is marked with buoys and has shallow gradual drop-offs. Please note: there are no lifeguards posted at the beach and pets are not permitted in the swimming area.
Bronte Creek,Biking,Maiden’s Blush Trail allows cycling and there are many gravel road and access trails to bike throughout the park.
Bronte Creek,Birding,"Bronte Creek Provincial Park, with its open fields, is a favourite of many birds of prey, hawks, merlin, kestrels and eagles. Not to mention various species of owls. The park has been known to be home to over 190 species of birds."
Bronte Creek,Fishing,"You can access the creek easily by following Half Moon Valley Trail. Once there you may fish (in season) for Rainbow Trout, splake, steelhead and Pacific Salmon."
Bronte Creek,Hiking,Maiden’s Blush Trail – 1 km – (Located in Day-Use Area)
Bronte Creek,Natural Heritage Education,"Bronte Creek Provincial Park offers two interpretive centres. Spruce Lane Farmhouse, located close to parking lot F in the day-use area, showcases what life for the early farmer (1890 -1905) must have been like. Many demonstrations and special events highlight this one-of-a-kind living history museum."
Bronte Creek,Swimming,"Bronte Creek Provincial Park is home to one of Canada’s largest outdoor pools. This 1.8 acre pool is located at the Recreation Complex in the Day-Use area. The pool is a large pond shape that is designed for wading with a starting depth of mere centimeters, gradually deepening to 2 m (6 ft) in the center. Lifeguards are on duty. (There is an additional fee to use the pool area.) Pool Season :  last Saturday in June to Labour Day. (temporary closures may occur due to weather)."
Bronte Creek,Winter Activities,Weather permitting: the park maintains an Olympic-size skating rink (located at Recreation Complex) from mid December until Family Day in February. There is also a toboggan hill and approximately 5 km of cross-country ski trails that loop throughout the park.
Caliper Lake,Biking,"Biking on park roads is a great way to get around and explore the park. Visitors are reminded that Ontario law requires helmets to be worn by those aged 18 years and younger when biking on roads, including those in provincial parks."
Caliper Lake,Birding,Visitors may spot nesting pelicans at Caliper Lake or listen for the call of the Barred Owl.
Caliper Lake,Boating,Caliper Lake is easily navigable with few water hazards. A boat launch and docking facilities are available in the park.
Caliper Lake,Canoeing,The peaceful waters of Caliper Lake offer a relaxing option for a day of canoeing. Visitors can rent canoes at the park office or bring their own.
Caliper Lake,Fishing,"Caliper Lake’s clean, warm waters are home to Northern Pike, walleye, crappie and Smallmouth Bass."
Caliper Lake,Hiking,"Beaver Pond Trail - 2– 3km, moderate
The Beaver Pond Trail is accessed off the main entrance road between the Park Office and the beach.  Two loops offer hikers a choice between a 2 km and 3 km hike."
Caliper Lake,Swimming,"A large beach and sectioned off swimming area make swimming a favourite activity at Caliper Lake. Enjoy the warm, shallow water and floating swim platform."
Charleston Lake,Biking,There is excellent biking on park roads.
Charleston Lake,Birding,"Charleston Lake offers a variety of excellent birding opportunities for its visitors. Depending on the season, birders have a chance to see Bald Eagles, Red-Shouldered Hawks, Cerulean Warblers, Yellow-Throated Vireos, and Black-Billed and Yellow-Billed Cuckoos."
Charleston Lake,Boating,"Powerboats are permitted on Charleston Lake except for the designated areas in Running’s Bay and Slim Bay. The lake offers excellent opportunities for fishing, sight seeing, water skiing and other boating activities."
Charleston Lake,Canoeing,Charleston Lake offers many opportunities for paddle sport enthusiasts. Paddlers can explore the lake’s 75 km of shoreline and numerous bays and coves. Portions of Running’s Bay and Slim Bay are designated motorboat-free which enhances the paddling opportunities for our visitors. Sea kayaking has become increasingly popular on the lake as it lends well to this type of vessel.
Charleston Lake,Fishing,"Charleston Lake is widely known as an excellent fishing destination. Anglers fish for Lake Trout, Large and Small Mouth Bass, Northern Pike, Black Crappie, Yellow Perch and other species of panfish."
Charleston Lake,Hiking,"Sandstone Island Trail: Interpretive trail, 2.6 km loop, moderate difficulty
This trail features the geological and human history of the park.  The highlight of the trail is a rock shelter that was used some 1,200 years ago by Aboriginal peoples of the area."
Charleston Lake,Natural Heritage Education,"During the operating season, Charleston Lake has an excellent Natural Heritage Education (NHE) program which offers a variety of interactive programs for all ages. Campers can attend guided hikes, evening programs, campfires, children’s programs at the Nature Centre, and special events such as Settler’s Weekend and Star Gazing with Terrence Dickinson."
Charleston Lake,Swimming,"Charleston Lake has two designated swimming beaches, one in the day-use area and one in Shady Ridge campground. These beaches are excellent for all ages as the shoreline and lake bed are gently sloping. Both beaches are marked with buoys, however, it should be noted that lifeguards are not on duty and that animals are not permitted on the beaches."
Chutes,Biking,Biking is available on park roads only. There are no dedicated bike trails in the park. Chutes is a few blocks north of Highway 17 and right next to the town of Massey where local town and municipal roads are available for cycling.
Chutes,Birding,"Many species of birds nest in the park. Walking the trails along the river is a great way to see and hear them but you’ll come across many birds right in the campground. Local species include a variety of woodpeckers (Pileated, Downy, Hairy), sapsuckers, thrushes, nuthatches, chickadees, kinglets, flycatchers, vireos and warblers."
Chutes,Fishing,"The river can be fished along the banks in several areas. On the Aux Sables River north of the park and on the Spanish River there is good fishing available. In the fall, salmon run up the Aux Sables River to spawn below the main waterfall."
Chutes,Hiking,"Twin Bridges Trail - 6 km return (2 hours) moderate
 Following the Aux Sables River this trail leads to lookouts at the falls and the Seven Sisters Cataracts. Interpretive panels at the Falls Lookout tell the history of the area. There is an interpretive trail guide available."
Chutes,Swimming,The park has a fine sandy beach tucked in a bend in the river below the falls. There are no lifeguards. Swimming is not permitted in any other area of the river within the park.
Chutes,Winter Activities,"The park is gated, but visitors are welcome to walk in. The views of the .Aux Sables River are spectacular in winter and the many waterfalls and cataracts along the river are especially scenic. Bring your snowshoes and cross-country skis or just come for a winter hike."
Craigleith,Biking,"Bike on the park roads or the Georgian Trail located just outside of the park. A nice flat, stone chip trail runs from Meaford to Collingwood."
Craigleith,Birding,"Craigleith is home to a variety of songbirds, raptors and waterfowl. Visitors often see chickadees, juncos, nuthatches, cardinals, Blue Jays, robins, finches and hummingbirds."
Craigleith,Canoeing,"Craigleith’s shores are ideal to take the canoe out but be very cautious of the big water and its ability to change suddenly. For a relaxing adventure visit the local Beaver River which offers two, four and six hours of canoeing, beginning in Kimberley in the heart of the Beaver Valley. Shuttle service and canoe rentals are available in the village of Heathcote which is where the canoe route ends."
Craigleith,Fishing,"Craigleith is famous for its spring and fall offshore fishing. Cast your line and you may catch a Rainbow Trout, Salmon or even a Whitefish. Another great fishing area close by is the Beaver River; the mouth of the river is located 10 minutes outside of the park in the town of Thornbury."
Craigleith,Hiking,"There are no designated hiking trails within the park but lots of opportunity for hiking all around the park; many within walking distance and many more within a short drive. Craigleith is a perfect hub for what the local area has to offer. Located at the Base of Blue Mountain and the Niagara Escarpment the opportunities are endless. The Georgian Trail is located directly across the highway from the park entrance and is an excellent biking and easy hiking trail. It runs along the highway all the way to Meaford and Collingwood. For intermediate to advanced hiking the Bruce Trail offers a variety of different experiences from spectacular views of Georgian Bay, The Niagara Escarpment and The Beaver Valley, rolling countryside, crevice caves and falling rivers and creeks over a tumbling landscape. These hikes all start within a fifteen minute drive of the park and trail maps and information are available at the park store."
Craigleith,Natural Heritage Education,"Craigleith offers one program a week in the summer months. Refer to the Park Tabloid, online or inquire at the Park Store for details."
Darlington,Birding,Birding is a popular activity at Darlington. Many species of migratory birds can be seen in the park in the spring and fall. Check out the bird sightings board at the main park office to find out what has been spotted lately.
Darlington,Boating,The sheltered waters of McLaughlin Bay are ideal for canoes and paddle boats. The open waters of Lake Ontario are suitable for larger motorboats and sailboats.
Darlington,Canoeing,"The sheltered waters of McLaughlin Bay are ideal for canoeing, whether you are an experienced paddler or setting out for the first time."
Darlington,Fishing,Fishing is a popular activity for the whole family in Darlington’s McLaughlin Bay. You can even borrow fishing rods and tackle at the park store through the TackleShare program.
Darlington,Hiking,"Burk Trail 1.25 km (30 minutes) moderate
This trail moves through fields, meadows and mature forest past a pioneer cemetery to a scenic lookout over Lake Ontario. Watch for the elusive Coopers Hawk at the bluff and songbirds in the meadows."
Darlington,Hunting,"There is a controlled waterfowl hunt at Darlington which operates from mid-September to mid-December each year. Hunting is from designated blinds on McLaughlin Bay and takes place on Mondays, Wednesdays, Fridays and Saturdays only. Contact the park for more information, (905)436-2036."
Darlington,Natural Heritage Education,"Daily, during the summer months, there are many opportunities for the whole family to learn about the natural ecology and cultural history of Darlington and the surrounding area. Many programs are offered including children’s activities, evening films, campfires and sing-alongs, as well as guided hikes. Many special event weekends also take place throughout the season."
Darlington,Swimming,"Darlington offers a beautiful stretch of sandy beach, perfect for swimming, on the shores of Lake Ontario. Please remember that there are no lifeguards on duty at the beach so children should be supervised. Pets are also not allowed on the beach."
Darlington,Winter Activities,"Although closed for camping, the park remains open for day-use during the winter months. Parking and self-serve permits are available at the main park office. Vehicle permits are required year round."
Driftwood,Biking,Biking is a popular activity on the main park roads.
Driftwood,Birding,A variety of songbirds that use the adjacent waterway are regularly sighted in the park. Keep an eye out and an ear open for the many species of brightly coloured warblers that nest in the park.
Driftwood,Boating,The Ottawa River is well renowned for boating and other water-based recreational activities.
Driftwood,Canoeing,"The park is located on the Ottawa River directly across from the mouth of the Dumoine River, which is a popular wilderness canoe route, making the park a good place to camp before and after your trip. Calm days provide great opportunities for exploration."
Driftwood,Fishing,"You can fish for Walleye, Northern Pike and Small-mouth Bass in the Ottawa River. Nearby lakes are stocked with Splake, Lake and Brook Trout. The Dumoine River on the Quebec side of the Ottawa River, directly across from the park, is known for its excellent Walleye fishing. (Don’t forget to buy a Quebec fishing licence!)"
Driftwood,Hiking,"The Oak Highland Trails: 
1 km Riverview Loop and 2.5 km Beaver Pond Loop; moderate
This trail climbs steeply to a lookout with a panoramic view of the Ottawa River."
Driftwood,Swimming,"The refreshing, cool, clear waters of the Ottawa River provide a relaxing way to spend a warm summer day. A sandy camper’s beach stretches the entire length of the Ottawa Campground adjacent to many of the campsites. A separate day-use area provides a smaller, more private sand beach. A free Personal Floatation Device (PFD) loan program is provided at the park office."
Earl Rowe,Biking,Biking is allowed on all park roads and most trails. Biking is not recommended on the Lookout Trail.
Earl Rowe,Canoeing,Bring your own canoe or rent one from the Rental Booth located in East Beach. Rentals are available during peak season (check Park Store for hours) and include the use of lifejackets and paddles. Paddleboats are also available for rent.
Earl Rowe,Fishing,Fishing is allowed in the river below the dam and in the lake. Check the Ontario fishing regulations for seasons and restrictions. Tackle Share rods and reels are available for rent at the Resource Centre at no charge. Visit the Gatehouse or Resource Centre for a map of the best fishing spots!
Earl Rowe,Hiking,"Fletcher’s Mill Pond Trail – 1.5 km (linear) – 30 minutes to complete
This trail is paved for accessibility and is an easy walk around Earl Rowe Lake. Cyclists are reminded to yield to pedestrians and wheelchairs."
Earl Rowe,Natural Heritage Education,Earl Rowe offers Natural Heritage Education programming from June to September. Weekly program sheets are posted throughout the park at comfort stations and are available at the Gatehouse. Programs are designed to educate and inform varying age and interest groups.
Earl Rowe,Swimming,"Earl Rowe has two large beach areas; East Beach and Westbeach. The water quality of the lake is sampled and tested according to the Ministry of Health and the Simcoe Muskoka Health Unit guidelines and standards. If water quality tests indicate the lake is unsafe to swim in, notices are posted at the entrance to the park and at the beach areas. 
No lifeguards are posted on the beach and no pets are allowed in the beach area."
Emily,Biking,Quiet campground roads and the nearby Trans Canada Trail offer ample opportunities for biking. For more information check out www.kawarthatranscanadatrail.ca.
Emily,Boating,Pigeon River leads to the Trent Severn Waterway. This canal system links Lake Ontario to Georgian Bay and is popular with recreational boaters. There are two boat launches located in the park.
Emily,Canoeing,"The wide Pigeon River offers excellent canoeing for beginners. If you do not have a canoe, you can rent one at the Park Store. Many unique frogs and birds can be found in the wetland along the River. Head out exploring to see wetland wildlife in their natural home."
Emily,Fishing,"Drop your line off the park dock for panfish or cast off from your boat for a larger catch such as walleye, muskie and Large and Small Mouth Bass. Live bait and tackle are available at the Park Store."
Emily,Natural Heritage Education,"Throughout the summer, park staff provide a number of different educational activities including campfire programs, children’s programs, and information displays. Event schedules are posted on activity boards throughout the park."
Emily,Swimming,Two sandy beaches border the Pigeon River. The beaches are shallow and warm. Swimming areas are marked with buoys. Please note: there are no lifeguards posted at the beaches and pets are not permitted.
Emily,Winter Activities,"The park is accessible during the day for cross-country skiing, snowshoeing or winter hiking. All facilities are closed and parking is limited."
Esker Lakes,Biking,Biking is available on park roads. Bicycles for rent are also available.
Esker Lakes,Birding,"Esker Lakes lies within the vast Boreal Forest that covers much of Northern Ontario. This forest is the summer home to hundreds of species of birds. These birds often travel thousands of kilometres from sunny winter homes far to the south, to nest and raise their families here in the park because of the abundance of food. These include many types of colourful warblers, flycatchers, thrushes, hawks and owls. Several species of birds can be seen year round including: Black-capped Chickadees, Red-breasted Nuthatches, various woodpeckers, and the friendly Gray Jay."
Esker Lakes,Canoeing,"The collection of picturesque lakes in Esker Lakes Provincial Park, separated by short, fairly level portages and no motorboats, makes the park ideal for canoeing. There are about 15 kilometres of canoe routes and a canoe launching site on Panagapka Lake. There are many different options when paddling these lakes, with plenty of side trips available. Keep an eye out for wildlife, especially near the many wetlands. Canoe rentals are available including paddles and personal floatation devices."
