Source_NAME,Text,following-sibling::*[1]
Bass Lake,Group Camping,Bass Lake has three group camping areas available for reservation from the Friday of the Victoria Day weekend until Labour Day.  After Labour Day the group camping areas are available on a first-come first-served basis only.
Batchawana,,This park is open from mid-May to October for day-use only.
Biscotasi Lake,Backcountry Camping,"Interior camping only – 83 marked backcountry sites. All campsites are equipped with a fire pit and a box privy. There is a can and bottle ban in the park. All garbage is to be removed by the camper. Driftwood can be gathered for campfires.
Overnight camping is permitted at the Duke Lake access prior to starting your trip. Interior camping fees and rules apply."
Blue Lake,Car Camping,"Blue Lake offers a range of car camping opportunities from private tent pads to pull through sites with parking areas. Half of the campsites offer electrical hook-up.  Amenities such as water taps, comfort stations and laundry facilities are close by.  Swimming, boating and the Visitor Centre are only a short distance away."
Blue Lake,Group Camping,Blue Lake has two group campsites available.  The sites vary in size and can accommodate 40 to 140 people.  Water taps are nearby and vault toilets are either on site or close by.  A beach borders the group camping area. Both sites offer electrical hookup.
Bon Echo,Backcountry Camping,"Abes & Essens – Overnight Hiking Trail
This trail features three loops of four, nine and 17 km. Five campsites are available along the trail for overnight stays.  Each campsite has a picnic table and tent space; toilets are nearby."
Bon Echo,Car Camping,Bon Echo offers car camping in two campgrounds  Mazinaw Lake and Hardwood Hill.
Bon Echo,Radio-Free Camping,The Midway loop of the Mazinaw Lake Campground and Hardwood Hill Campground are radio-free.
Bon Echo,Walk-In Camping,"If you prefer some distance from other campers and your car, consider a walk-in campsite.  Sawmill Bay Campground loop has five walk-in campsites located right on Mazinaw Lake.  The Hardwood Hill Campground has a walk-in loop with nine campsites.  Parking is approximately 100 to 300 metres from your campsite."
Bonnechere,Car Camping,"Bonnechere offers car camping in three campgrounds; Tall Pines, River Loop and Sandy Flats. Tall Pines and River Loop Campgrounds are within a five minute walk to swimming, the Visitor Centre and Park Store while Sandy Flats is a 10 minute walk to these amenities. All campgrounds provide access to a central comfort station, laundry facilities and water taps.
 
Tall Pines Campground consists of 60 campsites that are set among some spectacular White Pine trees that have survived the logging days. Campsites in Tall Pines campground can accommodate equipment ranging from tents only to large trailers. Twenty-four of these campsites offer electrical hook up."
Bonnechere,Radio-Free Camping,Sandy Flats Campground provides a radio-free camping experience.
Bronte Creek,Car Camping,"Bronte Creek offers car camping in all four of the campground loops. The Prairie loop is designed to accommodate larger RV’s but will easily accommodate smaller trailers or tents as well. The Savannah, Woodlands and Ravine Loops are ideal for smaller trailers < 25 ft and tent camping. All campsites have electrical hook up for each campsite. Amenities such as water taps, comfort stations, laundry facilities, playgrounds, hiking trails and amphitheater are close by. Day-use facilities are a short drive outside of the park."
Bronte Creek,Group Camping,"Bronte Creek offers four group campsites.  These sites will accommodate up to 25 people. The sites are only accessed by a short walking path from the parking lots. The sites do not accommodate any type of vehicle or trailer and do not offer electricity. Water taps and small washroom facilities are located near by.
 
To reserve, please call 1-888-ONT-PARK (1-888-668-7275) or 1-519-826-5290 outside of North America."
Bronte Creek,Radio-Free Camping,Savannah Loop is radio free.
Caliper Lake,Car Camping,Almost 100 picturesque campsites await you at Caliper Lake. One-quarter of the sites have electrical hook-up and a dump and fill station is located in the park. A modern comfort station with showers and flush toilets is centrally located in the campground.
Caliper Lake,Group Camping,"Caliper Lake has one group campsite located on the east side of the park, directly overlooking the lake.  A water tap and vault toilets are on site; showers are located a ten minute walk away at the comfort station.  This site can accommodate up to 40 people.  Reservations for group camping can be made by calling the park directly at (807) 484-2181 beginning in May."
Caliper Lake,Walk-In Camping,Caliper Lake has eight waterfront campsites where you park along the main road and then take a short path (20m– 50m) to your campsite. These campsites are very popular.
Charleston Lake,Backcountry Camping,"Attention, the Slim Bay Bridge is closed. Tallow Rock Bay Trail is no longer a loop."
Charleston Lake,Car Camping,"Charleston Lake offers camping in three separate campgrounds. The Bayside and Shady Ridge Campgrounds are located adjacent to the lake in a mature, wooded setting. The Meadowlands Campground is located in a younger forest with some partially open sites for those sun seekers."
Charleston Lake,Group Camping,"Charleston Lake offers three group camping sites located away from our campgrounds.  Each site can accommodate up to 40 people.  Vault toilets and treated drinking water are adjacent to the sites.  Each site has a large, level grass area, a covered picnic shelter and fire pit.  Electricity is not available."
Chutes,Car Camping,Most of the campsites are within a short walking distance of scenic waterfalls. Almost half of the sites in the park are electrical and all electrical sites are situated in a pine forest.
Chutes,Group Camping,"Two large group sites are available at Chutes and both are non-electric. Group site #401 can accommodate 25-30 tents and is a five minute walk to the comfort station and a ten minute walk to the beach..There is water on-site and bathrooms nearby.
 
Group site #402 is slightly smaller and will accommodate 10-15 tents. The site is a five minute walk to the campground and a ten minute walk to the beach. A water supply and bathrooms are located close to the site.
 
Due to the proximity of the group campsites within the regular campground, they can only be reserved by “organized groups” (i.e. church or youth groups). Reservations can be made by calling the Park Clerk at (705) 865-2021."
Chutes,Radio-Free Camping,Campground C is a radio-free area.  This campground is situated in a mixed forest and is close to the hiking trail and day-use area.  The sound of the main waterfall can be heard from campsites #90-96.
Craigleith,Car Camping,All of Craigleith’s campsites are accessible by car. There are four comfort stations located throughout the park so all campsites are within a short distance of one. Two of our comfort stations offer shower facilities and one offers laundry facilities.
Craigleith,Radio-Free Camping,"Areas C and D, which offer both electrical and non-electrical sites provide radio-free camping."
Darlington,Car Camping,"Darlington offers car camping in three different campgrounds; Lakeside, Cliffside and Hilltop. All of the sites in Lakeside Campground offer electrical service as do a number of sites in Cliffside and Hilltop Campgrounds. There are sites to accommodate all types of camping equipment from tents to large RVs and trailers. Barrier-free camping is also available."
Darlington,Radio-Free Camping,All the sites in Lakeside Campground are designated as radio-free.
Driftwood,Car Camping,"Ottawa Campground is the larger campground with two thirds of the park’s campsites located here. There is a full-service, barrier-free comfort station that includes showers, flush toilets and laundry facilities. Many of the campsites are waterfront. All campsites are non-electrical and have a picnic table and fire ring."
Driftwood,Group Camping,"Two group campsites are available to larger, organized groups. The sites may be reserved by contacting the park directly at (613) 586-2553"
Earl Rowe,Car Camping,"Earl Rowe offers car camping in Westside and Riverside Campgrounds.
 
Westside Campground is open only during peak season (June to September) and has four camping areas: Fletcher’s Field, Boyne Meadow, Trillium Woods and Meadowbrook. Campsites in these areas can accommodate various sizes of equipment from tents only to large RVs. Boat rentals, swimming, a park store and the Resource Centre are only a short distance away."
Earl Rowe,Group Camping,"Earl Rowe has three group, non-electrical campsites available to accommodate groups ranging in size from 25 to 100 people. Amenities such as a comfort station (without showers), water taps and vault privies are close by. Access to comfort stations with showers and laundry facilities are available in Heydon Way or Westside Campground."
Earl Rowe,Radio-Free Camping,Blue Heron is the only radio free camping available at Earl Rowe. Campsites are non-electrical and designed for tents only. Amenities such as water taps and vault privies are close by. Access to comfort stations with showers and laundry facilities are available in nearby Heydon Way.
Emily,Car Camping,"Emily offers car camping in four campgrounds. The Lookout, Hill, and Circle Campgrounds offer many large, private and grassy sites that can accommodate various types of equipment ranging from tents to large trailers. Many of the sites offer electrical hookups."
Emily,Group Camping,"Group camping is a service provided in many of Ontario’s Provincial Parks. It provides an opportunity for organized groups to camp together. Although any group of persons may apply for a group campsite, preference is given to specialized and/or youth groups."
Emily,Radio-Free Camping,Campsites #1 to #36 in the Cedar Campground are radio-free.
Esker Lakes,Backcountry Camping,"Esker Lakes Provincial Park contains 29 clear lakes, with many connected by portages, creating a pleasant and peaceful canoe route. There are two backcountry campsites available, each with its own lake and only accessible by canoe."
Esker Lakes,Car Camping,"More than half of Esker Lakes’ campsites are electrical, and usually available for reservation."
Esker Lakes,Group Camping,There are three group camping areas in the park.  These secluded areas are great for family reunions or just hanging out with a group of friends.
Fairbank,Car Camping,"Campsites include a picnic table, fireplace and nearby amenities.  Many are located along the waterfront and 25% are electrical sites."
Fairbank,Group Camping,"Fairbank Provincial Park provides a beautiful and isolated group camping area.  Located just before the campground, and a short walk to the beach, the site comes with a horseshoe pit, fire pit, water tap and bathrooms.  The site will accommodate four to six small trailers and five to ten tents. Group camping reservations can be made at the park gatehouse or by contacting the park directly at 705-866-0530."
Ferris,Car Camping,Ferris offers car camping on over 150 sites in two campground loops (Valleyview and Bedrock). These sites can accommodate equipment ranging from tents only to large trailers.
Finlayson Point,Car Camping,"Campsites can accommodate equipment ranging from tents only to large trailers.  Many campsites offer electrical hook-up.  Amenities such as water taps, comfort stations and laundry facilities are close by.  Swimming, boating, angling and hiking opportunities are only a short distance away."
Fitzroy,Car Camping,"Fitzroy has over 200 campsites in two campgrounds; Pine Grove and Two Rivers. Waterfront campsites are available on the Carp and Ottawa Rivers which bisect the park. Some electrical sites are available in each campground. Amenities such as water taps, comfort stations and laundry facilities are located centrally in each campground. Two Rivers Campground has a small beach which is great for families with small children."
Fitzroy,Group Camping,"Fitzroy has six large group campsites that can accommodate 50 to 100 visitors, depending on equipment. These sites are ideal for youth groups and families. Vault toilets and water taps are located throughout this area."
Forks of the Credit,,Earl Rowe
French River,Backcountry Camping,"The French River is 105 km in length, running from headwaters at Lake Nipissing to its mouth at Georgian Bay. 
Along this route are numerous campsites where paddlers and boaters will find opportunities for fishing, swimming, photography, or just relaxing. Paddlers can spend hours weaving through the braided rocky channels. Coastal kayaking on Georgian Bay is popular."
Frontenac,Backcountry Camping,"Campsites at Frontenac are only accessible by hiking or canoeing in. You can hike or paddle to a destination campsite and stay there for up to three days or plan a trip that takes you from site to site in the park. Backcountry camping is available year round. Call the Park Office to discuss route planning, campsites and reservations."
Frontenac,Walk-In Camping,Choose a campsite that suits your hiking style hiking distances range from 20 minutes to more than three hours from your vehicle.
Fushimi Lake,Backcountry Camping,"Six interior campsites are located on the shores of Fushimi Lake. The sites are away from the campground and some are on their own private island. All sites are accessible by water and can only be reached by canoe or motorboat. Each site has a tent pad, fire pit and outhouse."
Fushimi Lake,Car Camping,"The Park’s campsites are quite secluded and almost all have electrical service. They are a convenient distance to hot showers, laundromat and flush toilets. Seasonal camping is also available."
Fushimi Lake,Group Camping,One group campsite is located close to the beach and boat launch and a two minute walk from the comfort station. It can accommodate six trailers (or several tents) and approximately 40-50 people. Vault toilets and water taps are located on site. Reservations can be made by calling the park directly at 705-372-5909
Grundy Lake,Backcountry Camping,"The park offers nine backcountry campsites that are located on a number of inland lakes. A short canoe trip of 5 to 20 minutes will get you to your campsite.  At each campsite, you will find a picnic table, tent space and a toilet nearby."
Grundy Lake,Car Camping,"Grundy Lake offers car camping in nine campgrounds: White Spruce, Hemlock, Trailer, Poplar, Red Maple, White Pine, White Birch, Jackpine, and Balsam Campgrounds."
Grundy Lake,Dog-Free Camping,"Along with being radio-free, Red Maple Campground is also pet-free."
Grundy Lake,Group Camping,Grundy Lake has three group campsites available that vary in size and can accommodate from 15 to 60 people.  Water taps are nearby and vault toilets are either on site or close by. Comfort stations are nearby. A beach borders each group camping area.
Grundy Lake,Radio-Free Camping,Hemlock and Red Maple Campgrounds are radio-free.
Halfway Lake,Backcountry Camping,Halfway Lake offers outstanding backcountry experiences with a long distance hiking trail and two canoe routes.
Halfway Lake,Car Camping,"Most of the park’s campsites are flat, private and some can accommode large trailers. Over half the sites offer electrical service in two campgrounds on the north shore of Halfway Lake."
Inverhuron,Car Camping,"Inverhuron has two campgrounds with a range of features including electrical service and pull-through sites ideal for larger RVs. The campsites are well separated and private. All sites are treed, spacious and have a level surface making them ideal for larger trailers. The large private sites may mean that you need to bring an extra long extension cord to reach the electrical outlet. All sites are conveniently located close to the comfort stations and showers."
Inverhuron,Group Camping,"Group campsites are available. To reserve, please call 1-888-ONT-PARK (1-888-668-7275) or 1-519-826-5290 outside of North America."
Ivanhoe Lake,Car Camping,"Ivanhoe Lake offers four campgrounds: Red Pine, Le Rivage, White Birch Hill and La Baie; over half of the campsites have electrical services. Many campsites provide a spectacular view of the lake while others can offer you a more secluded camping experience. Amenities include two comfort stations, laundry facilities, vault privies, water taps, picnic areas, pet beach, fish cleaning station and two beautiful beaches, one of which offers a children’s playground."
Ivanhoe Lake,Group Camping,"Ivanhoe Lake offers one secluded group camping area located on the waterfront.  The site provides a vault privy with sink, water tap, large fire pit and multiple picnic tables."
Ivanhoe Lake,Seasonal Campsite Leasing,Ivanhoe Lake Provincial Park is pleased to offer seasonal leasing of campsites. This program allows park users to camp at the same location for the entire summer season.  Interested parties can obtain information about seasonal leasing from the park office.
John E. Pearce,,Rondeau
Kakabeka Falls,Car Camping,"Kakabeka Falls offers tent and car camping in three campgrounds: Whispering Hills, Riverside and Fern’s Edge."
Kakabeka Falls,Group Camping,Group campsites are found in two locations at Kakabeka Falls. The Mountain Portage Site is located near the Visitor Centre and a comfort station. The other three group sites are isolated from the other campgrounds. These sites have vault privies and water taps. All sites will hold up to 50 people and will accommodate tents and some trailers.
Kap-Kig-Iwan,Car Camping,Kap-Kig-Iwan has both electrical and non-electrical campsites available.
Kawartha Highlands,Backcountry Camping,"Kawartha Highlands Provincial Park has over 100 backcountry campsites spread over six recommended loops. Most sites have three tent pads, a designated fire ring, a picnic table and a privy toilet. Campsites can only be reached by canoe and most require portaging to access them; there are no car campsites in the park."
Kawartha Highlands,Radio-Free Camping,"To maintain the wilderness atmosphere of Kawartha Highlands, the use of amplified stereo devices is prohibited throughout the park."
Kettle Lakes,Car Camping,"Kettle Lakes offers car camping in two campgrounds: The Pines and Island Lake. Both campgrounds can accommodate equipment ranging from tents to large trailers. Many campsites offer electrical hook-up. Amenities such as water taps, comfort stations with hot water, showers and laundry facilities are close by. Swimming is available at Island Lake adjacent to the campground. Swimming is also available at Slab Lake a few minutes from The Pines Campground."
Kettle Lakes,Group Camping,A large group camping site is available very close to Slab Lake.  This secluded area is great for family reunions or just hanging out with a group of friends.
Killarney,Backcountry Camping,"There are 183 backcountry canoe-in sites and 33 backcountry hike-in sites. Winter camping in the backcountry is available, however camping on existing summer campsites is prohibited. This is to protect the campsites from negative impacts that winter camping can cause. Winter campsites should be 30 metres from the shoreline of lakes, portages and trails. Sheltered areas near small bays and smaller interior lakes are recommended for winter campsites."
Killarney,Car Camping,George Lake Campground is open for camping all year. The main gates are closed during the snowy season and the campground and yurts become “walk in” from approximately the end of November to the beginning of May.
Killarney,Radio-Free Camping,Campground “D” – sites #82 to #113 including the East Beach are radio-free.
Killbear,Car Camping,"Killbear offers car camping at all seven campgrounds with most campsites being less than a five minute walk from the shoreline. Campsites are available for all types of camping equipment. Electrical sites are available in Kilcoursie, Beaver Dams and Harold Point Campgrounds."
Killbear,Group Camping,Three group campsites can accommodate up to 25 people each - tents only. Water taps and vault toilets are nearby. All three sites are a short walk to the shoreline.
Killbear,Radio-Free Camping,"Radio-free campgrounds include Granite Saddle, Harold Point, Lighthouse Point and Georgian."
Lady Evelyn-Smoothwater,Backcountry Camping,"The parks does not take reservations as many of the routes see few people. Some sections and campsites can be busy, however, especially on the lakes leading to Maple Mountain (Tupper and Hobart) and the three waterfalls on the North Channel of the Lady Evelyn River leading into Sucker Gut Lake – Franks Falls, Centre Falls and Helen Falls."
Lake on the Mountain,,"Lake on the Mountain is a day-use only park.  There are no overnight camping facilities.  If you are interesting in camping in Prince Edward County, try Sandbanks Provincial Park."
Lake St. Peter,Car Camping,"Lake St. Peter has sixty-five beautiful campsites to offer visitors. They are spacious, comfortable and sheltered by the mixed forest. Many of the sites will accommodate large trailers. There are several electrical sites and waterfront sites to choose from. All sites are close to drinking water taps and vault toilets. A centrally located comfort station has washrooms, showers and laundry facilities."
Lake Superior,Backcountry Camping,"There are 200 backcountry campsites, accessible along hiking trails and paddle routes. All backcountry campsites are available on a first-come, first-served basis. The park map shows backcountry campsites, hiking trails, portages and access points."
Lake Superior,Car Camping,"Lake Superior Provincial Park offers camping in three campgrounds with one quarter of all sites providing electrical service. Reservations are available for sites at Agawa Bay and Rabbit Blanket Lake Campgrounds. Crescent Lake Campground sites are all first-come, first-served."
Lake Superior,Radio-Free Camping,The south portion of Agawa Bay Campground is radio-free (all campsites in the 300s).
Long Point,Car Camping,Long Point offers four campground areas in two sections of the park. Almost half of campsites have electrical service.
Long Point,Radio-Free Camping,Cottonwood Campground (Old Park) is a radio-free campground with a total of 81 campsites.
MacGregor Point,Car Camping,"MacGregor Point offers well separated and private campsites in three campgrounds. All sites are treed, generous and have a level surface. Several campsites are designed for use by persons with disabilities. Radio-free camping is offered in sections of Huron Campground."
MacGregor Point,Group Camping,"There are two group camping sites that accommodate 9-36 people. Sites have water taps and outhouses on site. Comfort stations and the beach would require transportation. One of the two sites has trailer access but does not have electrical service. To reserve, please call 1-888-ONT-PARK (1-888-668-7275) or 1-519-826-5290 outside of North America."
MacGregor Point,Radio-Free Camping,Sections of Huron Campground are a radio-free zone.
MacLeod,Car Camping,"This quiet campground has 100 campsites, one quarter of which are electrical. Sites are available on a first-come, first-served basis and there is usually no problem with campsite availability. Campsites suit a range of equipment from tents, to trailers, to RVs.
Campsites at this park are all well treed and many sites are located on a peninsula jutting out into the lake and they have their own shoreline."
MacLeod,Group Camping,"MacLeod has one group camping area, isolated in the heart of nature, though in close proximity to the nature trail and the comfort station. The site lies just minutes from Kenogamisis Lake, making for beautiful scenery. Water and toilets (privies) are on site. Approximately 100 people can be accommodated on this site.  Reservations can be made by calling the park directly at (807) 854-0370."
Makobe-Grays River,Backcountry Camping,"When flying into Makobe Lake, the time required preparing for the flight, and the flight itself mean that camping on Banks Lake is the likely end to the first day. There are several campsites on Banks, including one where the Makobe River starts, next to the first falls. Alexander Lake has a number of campsites for the second night, although camping next to a rapid is often a great way to get to sleep. The last day ends at the Town of Elk Lake."
Mara,Car Camping,The park has car camping with both electrical and non-electrical campsites. Our campground has access to washrooms and a shower building. We also have two campsites that offer barrier- free access.
Mark S. Burnham,,"Mark S. Burnham is a day-use only park.  There are no overnight camping facilities.  If you are interested in camping in the Peterborough area, try Emily Provincial Park, just west of the city."
Marten River,Car Camping,"Campsites can accommodate equipment ranging from tents only to large trailers.  Many campsites offer electrical hook-up.  Amenities such as water taps, comfort stations and laundry facilities are close by.  Swimming, boating, angling and hiking opportunities are only a short distance away."
Marten River,Group Camping,Marten River has one group camping site that accommodates up to 125 people and offers on-site toilets and water taps.  The site is approximately one kilometre from the comfort station and 0.5 km from the beach.
McRae Point,Car Camping,McRae Point offers car camping in the North and South Campgrounds.  The North Campground is fully serviced with electricity and has large pull-through sites that accommodate extra large trailers and motorhomes.  There are fully serviced washroom and shower buildings located in this campground with smaller washrooms found throughout. The South Campground is a campground that features both electrical and non-electrical campsites.  This campground has access to the shower buildings in the North Campground and has washrooms located throughout.
Mikisew,Car Camping,"Mikisew offers camping in two campgrounds: The Hardwoods and The Pines. Comfort stations are centrally located in each campground and include amenities such as flush toilets, showers and laundry facilities. Several campsites are fully wheelchair accessible and located adjacent to each of the comfort stations."
Mikisew,Group Camping,"Mikisew offers two group campsite options; choose from a site on the shore of Eagle Lake or in a secluded section of the Pines Campground.
Bonfire Group Site can accommodate up to 50 people and is close to one of the beaches on Eagle Lake.
Woodlot group site can accommodate up to 25 people and is located in the Hardwoods campground. 
Both sites are in close proximity to water taps, toilets, and the comfort stations.
Group reservations can be made by calling Restoule Provincial Park from the first business day of May to June 1 at (705) 729-2010. After June 1, group reservations can be made by calling Mikisew directly at (705) 386-7762."
Misery Bay,,There is no camping at Misery Bay Provincial Park.  It is a day-use only park.
Missinaibi,Backcountry Camping,"“Big” Missinaibi Lake is a hidden gem, deep in the heart of the largest wildlife preserve in the world. The Barclay Bay Campground docks and boat launch provide access to a lake that is 40 km long, along with Baltic Bay that is 20 km long. All of this water and shoreline means lots of opportunities for exploration. There are 25 interior campsites scattered along the shores of the big lake – each one makes for an ideal backcountry basecamp for boaters and anglers, kayakers and canoeists. Aboriginal rock paintings, historic fur trade posts, abandoned logging camps and old growth Red Pine at its northern limit are some of the places to visit. A backcountry campsite out on the lake is a perfect place for great fishing, wildlife viewing, paddling and just relaxing."
Missinaibi,Car Camping,"Barclay Bay boasts large, well-treed campsites in a campground with basic amenities such as water taps, vault privies, trailer dump and fill, animal-proof food storage lockers, a fish cleaning house, an extensive dock system capable of handling larger watercraft and a boat launch. There are no electrical hook-ups or comfort stations at Missinaibi Park as this is a true northern park."
Missinaibi,Group Camping,"There is one  large, private group campsite located right on the water where you can keep canoes, kayaks and boats moored right at your site. Your group will have your own private washroom complete with a sink with running water. This site must be reserved by calling the Park Superintendent on January 1st at 1-705-864-3114 (leave name telephone number and desired dates) as it is in high demand and books up quickly."
Mississagi,Backcountry Camping,Hiking: Roll up your tent and pack plenty of trail mix for an overnight hiking and camping adventure into the backcountry along the MacKenzie Trail. There are spectacular views from the top of Bear Mountain and there are two campsites to choose from on the Brush Lakes. You can also hike to the two interior campsites on Semiwite Lake by way of the Semiwite Lake Trail.
Mississagi,Car Camping,"The 60 campsites in this wooded campground on the north shore of Semiwite Lake are secluded and private. Most are pull-through trailer sites and each campsite is provided with a fire pit and a picnic table. Some sites are on the water (walk-in sites) and many have a footpath leading to the lake. 
Seasonal Leasing: There are a number of campsites at Mississagi that are designated for seasonal leasing. These sites are available from the time the park opens (May 18) until it closes on the Labour Day weekend. If you are planning to spend a large portion of your summer in one location, seasonal leasing could be the best option for you. The cost is less than what you would pay if you were renting by the night, you can stay in the park past the 23-day limit, and you won’t have to set up and take down your equipment more than once!"
Mississagi,Group Camping,"There is one group campsite at Mississagi. This site is adjacent to the campground and will accommodate 15-20 tents, 4-5 medium sized trailers, or a combination of both. There are toilets and water taps nearby and the site is a five minute walk from the camper’s beach. Picnic tables are located in a roofed shelter.
 
Reservations can be made by calling the Warden at Mississagi Provincial Park at (705-862-1203) or the Park Clerk at Chutes Provincial Park (705-865-2021)."
Mississagi,Walk-In Camping,Four campsites are walk-in (tent) sites and are located on the shore of Semiwite Lake near the day-use area. The distance from car to campsite at these sites is less than 20 metres.
Mono Cliffs,,This is a day use only park. Camping is located at nearby Earl Rowe Provincial Park.
Murphys Point,Backcountry Camping,"Fourteen campsites are located on Big Rideau Lake and can be accessed by canoe or boat. A total of four clusters (three clusters of four and one cluster of two campsites) are located a 5 to 45 minutes paddle from the boat launch. The three larger clusters (Noble, Narrows, Feldspar) have docking facilities to accommodate motorboats. Motorboats are not permitted at the Rideau cluster of two campsites."
Murphys Point,Car Camping,"Campers with larger trailers will find the pull-through sites, including many with electrical hook-up, in Hogg Bay Campground convenient. Hogg Bay also has a loop (Ash Hill) which is for tent camping. Fallows Campground is well-suited to tents and small trailers.
 
Amenities such as water taps, comfort stations and laundry facilities are close by. A fully-stocked Park Store, the Visitor Centre, beaches, trails, amphitheatre and boat launch are only a short distance away."
Murphys Point,Group Camping,Murphys Point has three group campsites.  The sites vary in size and can accommodate from 12 to 50 people each.  A water tap and vault toilets are close by. Group campers have access to Round Lake for swimming. Round Lake does not have a sandy beach area.
Nagagamisis,Car Camping,"Car camping is available at two campgrounds in close proximity to showers, a laundromat and flush toilets. No electrical sites are available."
Neys,Car Camping,"Neys has almost 150 campsites, almost half of which are electrical. Campground Areas 1, 2 and 3 face Lake Superior while Area 4 is in a wooded loop away from the lake."
North Beach,,"North Beach is a day-use only park.  There are no overnight camping facilities.  If you are interesting in camping in Prince Edward County, try Sandbanks Provincial Park."
Oastler Lake,Car Camping,"The park provides car camping in five campgrounds. Each campground offers easy access to drinking water, toilets and a comfort station. There is also a small boat launch; a trailer dumping/filling station and a picnic shelter close by. Parking for one vehicle is allowed on the campsite and all other vehicles must park in the additional vehicle parking lot. The park has water filling stations throughout however there is a boil water advisory in effect."
Oastler Lake,Radio-Free Camping,The Point Campground is radio-free.
Oastler Lake,Walk-In Camping,Ten walk-in campsites are located on the tip of the peninsula in the Point Campground.  Parking for one vehicle per campsite is available and is approximately 100 to 300 metres from your campsite.
Obabika River,Backcountry Camping,"Backcountry campsites are rustic, with a box privy and fire pit. Campsites are marked on the Temagami Canoe Route Map. Please check it or other trip planning resources for route ideas and campsites."
Ojibway,Car Camping,"Ojibway is a small campground offering fewer than 50 campsites, half of which have electricity.  Campsites can accommodate equipment ranging from tents only to large trailers.  Seasonal leased campsites are also available. Amenities such as water taps, comfort stations and laundry facilities are close by.  Swimming, boating, great fishing and hiking are only a short distance away."
Ojibway,Group Camping,"Ojibway has one group campsite available which can accommodate 15 to 50 people.  Water taps and vault toilets are on site. The area is within walking distance of the beach and hiking trails.
To reserve, call the park directly (807) 737-2033."
Ouimet Canyon,,Ouimet Canyon is a day-use only park.  There are no overnight camping facilities.  If you are interesting in camping try nearby Sleeping Giant or Kakabeka Falls Provincial Parks.
Oxtongue River - Ragged Falls,,This is a day use only park. There are no overnight camping facilities. If you are interesting in camping try nearby Arrowhead or Algonquin Provincial Parks.
